key,status,model,topic,grade,subject,target_bloom,target_dok,output_raw,question,answer,reasoning,parse_ok,tfidf_centroid_sim_to_retrieved,tfidf_top5_mean_sim_to_retrieved,tfidf_top5_neighbors
meta-llama/Llama-4-Scout-17B-16E-Instruct||maths||Grade 5||Apply||DOK3||fractions,ok,meta-llama/Llama-4-Scout-17B-16E-Instruct,fractions,Grade 5,maths,Apply,DOK3,"['', '{\'question\': ""A class has 500 tables and 2/5 times as many books as the number of tables in the class are on top of each table. What\'s the total number of books in the class?"", \'answer\': \'The total number of books in the class is 200.\', \'reasoning\': \'The class has 500 tables. 2/5 times 500 is (2/5) * 500 = 200. So, there are 200 books on the tables.\'}']",A class has 500 tables and 2/5 times as many books as the number of tables in the class are on top of each table. What's the total number of books in the class?,The total number of books in the class is 200.,"The class has 500 tables. 2/5 times 500 is (2/5) * 500 = 200. So, there are 200 books on the tables.",True,0.23454621004581838,0.3103410935642163,"A class has 500 tables and 2/5 times as many books as the number of tables in the class are on top of each table. What's the total number of books in the class? ;; The ratio of boys to girls in a math class is 5:8. How many girls are in the class if the total number of students in the class is 260? ;; Alannah, Beatrix, and Queen are preparing for the new school year and have been given books by their parents. Alannah has 20 more books than Beatrix. Queen has 1/5 times more books than Alannah. If Beatrix has 30 books, how many books do the three have together? ;; If you double a number and add 5 to the result, then that's 20 more than half of the original number. What's the original number? ;; The fifth grade class at Rosa Parks Elementary School is holding a food drive. Half the students in Ms. Perez's class collected 12 cans each, two students didn't collect any, and the remaining 13 students students each collected 4 cans. If Ms. Perez's class has 30 students, how many cans did they collect total?"
meta-llama/Llama-4-Scout-17B-16E-Instruct||maths||Grade 5||Apply||DOK4||decimals,ok,meta-llama/Llama-4-Scout-17B-16E-Instruct,decimals,Grade 5,maths,Apply,DOK4,"['', ""{'question': 'A recipe requires 2.5 cups of water. If you already have 1.7 cups, how much more water do you need to add?', 'answer': '0.8 cups', 'reasoning': 'To find out how much more water is needed, subtract the amount already available (1.7 cups) from the total required (2.5 cups). So, 2.5 - 1.7 = 0.8 cups.'}""]","A recipe requires 2.5 cups of water. If you already have 1.7 cups, how much more water do you need to add?",0.8 cups,"To find out how much more water is needed, subtract the amount already available (1.7 cups) from the total required (2.5 cups). So, 2.5 - 1.7 = 0.8 cups.",True,0.08294275427244152,0.1406264855711338,"A jug is filled with 5 liters of water and a bucket is filled with 4 jugs. How many liters of water are contained in 2 buckets? ;; A box has 2 dozen water bottles and half a dozen more apple bottles than water bottles. How many bottles are in the box? ;; If you double a number and add 5 to the result, then that's 20 more than half of the original number. What's the original number? ;; 5 squirrels collected 575 acorns. If each squirrel needs 130 acorns to get through the winter, how many more acorns does each squirrel need to collect? ;; Six Grade 4 sections launched a recycling drive where they collect old newspapers to recycle. Each section collected 280 kilos in two weeks. After the third week, they found that they need 320 kilos more to reach their target. How many kilos of the newspaper is their target?"
meta-llama/Llama-4-Scout-17B-16E-Instruct||maths||Grade 5||Analyze||DOK1||fractions,ok,meta-llama/Llama-4-Scout-17B-16E-Instruct,fractions,Grade 5,maths,Analyze,DOK1,"['', '{\'question\': ""A class has 500 tables and 2/5 times as many books as the number of tables in the class are on top of each table. What\'s the total number of books in the class?"", \'answer\': \'The question aligns with the target levels.\', \'reasoning\': \'The question requires analysis and has a DOK level of 3.\'}']",A class has 500 tables and 2/5 times as many books as the number of tables in the class are on top of each table. What's the total number of books in the class?,The question aligns with the target levels.,The question requires analysis and has a DOK level of 3.,True,0.23454621004581838,0.3103410935642163,"A class has 500 tables and 2/5 times as many books as the number of tables in the class are on top of each table. What's the total number of books in the class? ;; The ratio of boys to girls in a math class is 5:8. How many girls are in the class if the total number of students in the class is 260? ;; Alannah, Beatrix, and Queen are preparing for the new school year and have been given books by their parents. Alannah has 20 more books than Beatrix. Queen has 1/5 times more books than Alannah. If Beatrix has 30 books, how many books do the three have together? ;; If you double a number and add 5 to the result, then that's 20 more than half of the original number. What's the original number? ;; The fifth grade class at Rosa Parks Elementary School is holding a food drive. Half the students in Ms. Perez's class collected 12 cans each, two students didn't collect any, and the remaining 13 students students each collected 4 cans. If Ms. Perez's class has 30 students, how many cans did they collect total?"
meta-llama/Llama-4-Scout-17B-16E-Instruct||maths||Grade 5||Analyze||DOK2||decimals,ok,meta-llama/Llama-4-Scout-17B-16E-Instruct,decimals,Grade 5,maths,Analyze,DOK2,"['', ""{'question': 'A student has 2.5 liters of water and receives 3.7 liters more. How much water does the student have now? Apply the addition to find the total.', 'answer': '6.2 liters', 'reasoning': 'The student has 2.5 liters initially and receives 3.7 liters more. Adding these together gives 2.5 + 3.7 = 6.2 liters.'}""]",A student has 2.5 liters of water and receives 3.7 liters more. How much water does the student have now? Apply the addition to find the total.,6.2 liters,The student has 2.5 liters initially and receives 3.7 liters more. Adding these together gives 2.5 + 3.7 = 6.2 liters.,True,0.1418163989730105,0.1946240796589248,"A jug is filled with 5 liters of water and a bucket is filled with 4 jugs. How many liters of water are contained in 2 buckets? ;; The teacher brings in 14 mini-cupcakes and 12 donut holes for the class. There are 13 students in the class. If each student gets the exact same amount, how many desserts does each student get? ;; A box has 2 dozen water bottles and half a dozen more apple bottles than water bottles. How many bottles are in the box? ;; The school is having a book-a-thon. The winning class gets a pizza party. The fifth grade has 20 students and one week to read as much as possible. The 6th grade already finished and read a total of 299 hours. How many hours does each student in 5th grade need to average per day to beat them by 1? ;; Kendall is counting her change. She has a total of $4 in quarters, dimes, and nickels. If she has 10 quarters and 12 dimes, how many nickels does she have?"
meta-llama/Llama-4-Scout-17B-16E-Instruct||maths||Grade 5||Analyze||DOK3||fractions,ok,meta-llama/Llama-4-Scout-17B-16E-Instruct,fractions,Grade 5,maths,Analyze,DOK3,"['', '{\'question\': \'Compare the number of tables to 2/5 of the number of tables if there are 500 tables. Explain your steps.\', \'answer\': ""The question is: \'Compare the number of tables to 2/5 of the number of tables if there are 500 tables. Explain your steps.\'"", \'reasoning\': ""The question meets the Bloom\'s taxonomy target \'Analyze\' but not the DOK level target \'DOK2\', instead being classified as \'DOK3\'.""}']",Compare the number of tables to 2/5 of the number of tables if there are 500 tables. Explain your steps.,The question is: 'Compare the number of tables to 2/5 of the number of tables if there are 500 tables. Explain your steps.',"The question meets the Bloom's taxonomy target 'Analyze' but not the DOK level target 'DOK2', instead being classified as 'DOK3'.",True,0.09791136533291125,0.13496137580387452,"A class has 500 tables and 2/5 times as many books as the number of tables in the class are on top of each table. What's the total number of books in the class? ;; If you double a number and add 5 to the result, then that's 20 more than half of the original number. What's the original number? ;; The ratio of boys to girls in a math class is 5:8. How many girls are in the class if the total number of students in the class is 260? ;; Two boxes for carrying oranges with a capacity of 80 and 50 were filled with 3/4 and 3/5 of the way full with oranges, respectively. Calculate the total number of oranges the boxes have together. ;; Frank has three less than half the number of cookies as Mike. Mike has three times as many cookies as Millie. If Millie has 4 cookies, how many cookies does Frank have?"
meta-llama/Llama-4-Scout-17B-16E-Instruct||maths||Grade 5||Analyze||DOK4||decimals,ok,meta-llama/Llama-4-Scout-17B-16E-Instruct,decimals,Grade 5,maths,Analyze,DOK4,"['', ""{'question': 'A bookshelf is 2.5 meters long. If it is extended by 3.7 meters, calculate the total length.', 'answer': '6.2', 'reasoning': 'To find the total length, add 2.5 and 3.7'}""]","A bookshelf is 2.5 meters long. If it is extended by 3.7 meters, calculate the total length.",6.2,"To find the total length, add 2.5 and 3.7",True,0.08153399577421767,0.07851648993097302,"Gloria has five times as many dimes as quarters in her graduation money. She decides to put 2/5 of the quarters aside for future use. If she has 350 dimes, calculate the combined number of quarters and dimes she has after putting aside 2/5 of the quarters? ;; The ratio of boys to girls in a math class is 5:8. How many girls are in the class if the total number of students in the class is 260? ;; There are 28 students in a classroom. Half of them have 5 notebooks each and the other half have 3 notebooks each. How many notebooks in total are in the classroom? ;; Kendall is counting her change. She has a total of $4 in quarters, dimes, and nickels. If she has 10 quarters and 12 dimes, how many nickels does she have? ;; A class has 500 tables and 2/5 times as many books as the number of tables in the class are on top of each table. What's the total number of books in the class?"
meta-llama/Llama-4-Scout-17B-16E-Instruct||maths||Grade 5||Evaluate||DOK1||fractions,ok,meta-llama/Llama-4-Scout-17B-16E-Instruct,fractions,Grade 5,maths,Evaluate,DOK1,"['', ""{'question': 'There are 500 tables in a classroom. Each table has 2/5 books relative to the number of tables. How many books are there in total?', 'answer': '200 books', 'reasoning': 'To find the total number of books, calculate 2/5 of 500 which is (2/5) * 500 = 200.'}""]",There are 500 tables in a classroom. Each table has 2/5 books relative to the number of tables. How many books are there in total?,200 books,"To find the total number of books, calculate 2/5 of 500 which is (2/5) * 500 = 200.",True,0.16239765383415689,0.2178220509426799,"A class has 500 tables and 2/5 times as many books as the number of tables in the class are on top of each table. What's the total number of books in the class? ;; Alannah, Beatrix, and Queen are preparing for the new school year and have been given books by their parents. Alannah has 20 more books than Beatrix. Queen has 1/5 times more books than Alannah. If Beatrix has 30 books, how many books do the three have together? ;; There are 28 students in a classroom. Half of them have 5 notebooks each and the other half have 3 notebooks each. How many notebooks in total are in the classroom? ;; The ratio of boys to girls in a classroom is 3:5. If there are 4 more girls than boys, how many students are in the classroom? ;; The ratio of boys to girls in a math class is 5:8. How many girls are in the class if the total number of students in the class is 260?"
meta-llama/Llama-4-Scout-17B-16E-Instruct||maths||Grade 5||Evaluate||DOK2||decimals,ok,meta-llama/Llama-4-Scout-17B-16E-Instruct,decimals,Grade 5,maths,Evaluate,DOK2,"['', ""{'question': 'A student needs to add 2.5 liters and 3.7 liters of water to a container. What is the total amount of water added?', 'answer': '6.2 liters', 'reasoning': 'The student needs to add 2.5 liters and 3.7 liters of water. The total amount is 2.5 + 3.7 = 6.2 liters.'}""]",A student needs to add 2.5 liters and 3.7 liters of water to a container. What is the total amount of water added?,6.2 liters,The student needs to add 2.5 liters and 3.7 liters of water. The total amount is 2.5 + 3.7 = 6.2 liters.,True,0.12698096829568944,0.16747909231443084,"A jug is filled with 5 liters of water and a bucket is filled with 4 jugs. How many liters of water are contained in 2 buckets? ;; A box has 2 dozen water bottles and half a dozen more apple bottles than water bottles. How many bottles are in the box? ;; The teacher brings in 14 mini-cupcakes and 12 donut holes for the class. There are 13 students in the class. If each student gets the exact same amount, how many desserts does each student get? ;; If you double a number and add 5 to the result, then that's 20 more than half of the original number. What's the original number? ;; 5 squirrels collected 575 acorns. If each squirrel needs 130 acorns to get through the winter, how many more acorns does each squirrel need to collect?"
meta-llama/Llama-4-Scout-17B-16E-Instruct||maths||Grade 5||Evaluate||DOK3||fractions,ok,meta-llama/Llama-4-Scout-17B-16E-Instruct,fractions,Grade 5,maths,Evaluate,DOK3,"['', ""{'question': 'Find 2/5 * 500.', 'answer': '200', 'reasoning': 'To find 2/5 * 500, multiply 2/5 by 500. This equals (2 * 500) / 5 = 1000 / 5 = 200.'}""]",Find 2/5 * 500.,200,"To find 2/5 * 500, multiply 2/5 by 500. This equals (2 * 500) / 5 = 1000 / 5 = 200.",True,0.0,0.0,"For positive integers $a$ and $b$, define $f(a, b)=\frac{a}{b}+\frac{b}{a}+\frac{1}{a b}$.

For example, the value of $f(1,2)$ is 3 .
Determine the value of $f(2,5)$. ;; A chef needs to make french fries.  He can get 25 fries out of 1 potato.  He has 15 potatoes and he needs 200 fries.  How many potatoes will he have leftover? ;; Neil baked 20 cookies. He gave 2/5 of the cookies to his friend. How many cookies are left for Neil? ;; Mabel has 5 daisies in her garden, and each daisy has 8 petals.  If she gives 2 daisies to her teacher, how many petals does she have on the remaining daisies in her garden? ;; Three friends agreed to pay an equal amount of money for buying 5 bags of chips. If they each pay $5, how much does each bag of chips cost?"
meta-llama/Llama-4-Scout-17B-16E-Instruct||maths||Grade 5||Evaluate||DOK4||decimals,ok,meta-llama/Llama-4-Scout-17B-16E-Instruct,decimals,Grade 5,maths,Evaluate,DOK4,"['{\n  ""question"": ""A student has 2.5 liters of paint. If they add 3.7 liters more, how many liters of paint will they have in total? Show your steps."",\n  ""answer"": ""6.2 liters"",\n  ""reasoning"": ""To find the total amount of paint, add 2.5 liters and 3.7 liters. 2.5 + 3.7 = 6.2 liters.""\n}', '{""question"": ""A student has 2.5 liters of paint. If they add 3.7 liters more, how many liters of paint will they have in total? Show your steps."", ""answer"": ""6.2 liters"", ""reasoning"": ""To find the total amount of paint, add 2.5 liters and 3.7 liters. 2.5 + 3.7 = 6.2 liters.""}']","A student has 2.5 liters of paint. If they add 3.7 liters more, how many liters of paint will they have in total? Show your steps.",6.2 liters,"To find the total amount of paint, add 2.5 liters and 3.7 liters. 2.5 + 3.7 = 6.2 liters.",True,0.09362802575208302,0.12315045158945048,"A jug is filled with 5 liters of water and a bucket is filled with 4 jugs. How many liters of water are contained in 2 buckets? ;; Raine's house is just a walking distance from her school. It takes her 150 steps to walk to the school. How many steps does she take walking to and from school in five days? ;; The teacher brings in 14 mini-cupcakes and 12 donut holes for the class. There are 13 students in the class. If each student gets the exact same amount, how many desserts does each student get? ;; If you double a number and add 5 to the result, then that's 20 more than half of the original number. What's the original number? ;; The school is having a book-a-thon. The winning class gets a pizza party. The fifth grade has 20 students and one week to read as much as possible. The 6th grade already finished and read a total of 299 hours. How many hours does each student in 5th grade need to average per day to beat them by 1?"
