key,status,model,topic,grade,subject,target_bloom,target_dok,output_raw,question,answer,reasoning,parse_ok,tfidf_centroid_sim_to_retrieved,tfidf_top5_mean_sim_to_retrieved,tfidf_top5_neighbors
meta-llama/Llama-4-Scout-17B-16E-Instruct||physics||Grade 12||Analyze||DOK1||electromagnetic induction,ok,meta-llama/Llama-4-Scout-17B-16E-Instruct,electromagnetic induction,Grade 12,physics,Analyze,DOK1,"['', '{\'question\': ""What does Lenz\'s law state about the direction of the induced current in a coil?"", \'answer\': ""Lenz\'s law states that the induced current flows in a direction such that it opposes the change in the magnetic flux."", \'reasoning\': ""This question requires the student to recall Lenz\'s law and apply it to understand the direction of the induced current."", \'classification_result\': {\'ok\': False, \'measured\': {\'bloom_best\': \'Analyze\', \'bloom_scores\': {\'Remember\': 0.5699915885925293, \'Understand\': 0.5580868721008301, \'Apply\': 0.5588022470474243, \'Analyze\': 0.6088488698005676, \'Evaluate\': 0.5438159704208374, \'Create\': 0.5720981955528259}, \'dok_best\': \'DOK3\', \'dok_scores\': {\'DOK1\': 0.5699915885925293, \'DOK2\': 0.5560884475708008, \'DOK3\': 0.6088488698005676, \'DOK4\': 0.5720981955528259}}, \'feedback\': ""Shift DOK from DOK3 toward [\'DOK1\']. Top cues: [(\'differentiate\', 0.6088488698005676), (\'experiment\', 0.5857124328613281), (\'hypothesize\', 0.5645138621330261)]""}}']",What does Lenz's law state about the direction of the induced current in a coil?,Lenz's law states that the induced current flows in a direction such that it opposes the change in the magnetic flux.,This question requires the student to recall Lenz's law and apply it to understand the direction of the induced current.,True,0.0,0.0,Think about the magnetic force between the magnets in each pair. Which of the following statements is true?
meta-llama/Llama-4-Scout-17B-16E-Instruct||physics||Grade 12||Analyze||DOK2||thermodynamics,ok,meta-llama/Llama-4-Scout-17B-16E-Instruct,thermodynamics,Grade 12,physics,Analyze,DOK2,"['', ""{'question': 'Compare the thermal energy of two containers of water with different masses but at the same temperature. How does the mass difference impact their thermal energy?', 'answer': 'The container with more mass has more thermal energy because thermal energy is directly proportional to mass at constant temperature. The mass difference impacts their thermal energy by increasing it for the container with more mass.', 'reasoning': 'Comparing the thermal energy involves analyzing the effect of mass on thermal energy at constant temperature. The container with more mass has more thermal energy.'}""]",Compare the thermal energy of two containers of water with different masses but at the same temperature. How does the mass difference impact their thermal energy?,The container with more mass has more thermal energy because thermal energy is directly proportional to mass at constant temperature. The mass difference impacts their thermal energy by increasing it for the container with more mass.,Comparing the thermal energy involves analyzing the effect of mass on thermal energy at constant temperature. The container with more mass has more thermal energy.,True,0.6910601926791837,0.42493419180994785,Two bath towels have the same temperature but different masses. Which towel has more thermal energy? ;; Two paper towels have the same temperature but different masses. Which towel has more thermal energy? ;; Two baked potatoes have the same temperature but different masses. Which potato has less thermal energy? ;; Two fish tanks have the same temperature but different masses. Which fish tank has less thermal energy? ;; Two gold bars have the same temperature but different masses. Which gold bar has more thermal energy?
meta-llama/Llama-4-Scout-17B-16E-Instruct||physics||Grade 12||Analyze||DOK3||electromagnetic induction,ok,meta-llama/Llama-4-Scout-17B-16E-Instruct,electromagnetic induction,Grade 12,physics,Analyze,DOK3,"['', '{\'question\': \'A coil of wire is placed in a changing magnetic field. Describe the induced emf in the coil and explain the factors that affect its magnitude.\', \'answer\': ""The changing magnetic field induces an electromotive force (emf) in the coil. The magnitude of the induced emf is determined by Faraday\'s law of electromagnetic induction, which states that the induced emf is proportional to the rate of change of the magnetic flux through the coil. Factors affecting the magnitude include the rate of change of the magnetic field, the number of turns in the coil, and the area of the coil."", \'reasoning\': ""The question requires the student to analyze the situation and explain the factors affecting the induced emf, which aligns with the target Bloom\'s level \'Analyze\' and DOK level \'DOK3\'.""}']",A coil of wire is placed in a changing magnetic field. Describe the induced emf in the coil and explain the factors that affect its magnitude.,"The changing magnetic field induces an electromotive force (emf) in the coil. The magnitude of the induced emf is determined by Faraday's law of electromagnetic induction, which states that the induced emf is proportional to the rate of change of the magnetic flux through the coil. Factors affecting the magnitude include the rate of change of the magnetic field, the number of turns in the coil, and the area of the coil.","The question requires the student to analyze the situation and explain the factors affecting the induced emf, which aligns with the target Bloom's level 'Analyze' and DOK level 'DOK3'.",True,0.25819888974716115,0.25819888974716115,Think about the magnetic force between the magnets in each pair. Which of the following statements is true?
meta-llama/Llama-4-Scout-17B-16E-Instruct||physics||Grade 12||Analyze||DOK4||thermodynamics,ok,meta-llama/Llama-4-Scout-17B-16E-Instruct,thermodynamics,Grade 12,physics,Analyze,DOK4,"['', '{\'question\': \'An ideal gas undergoes a thermodynamic cycle consisting of an isothermal expansion, an adiabatic cooling, and an isobaric heating. The gas starts at a pressure of 2 atm, a volume of 3 liters, and a temperature of 300 K. After the isothermal expansion, the volume increases to 6 liters. During the adiabatic cooling, the temperature drops to 250 K. Finally, during the isobaric heating, the volume returns to 3 liters. Calculate the final pressure and temperature of the gas after the cycle.\', \'answer\': \'To solve this, we need to analyze each process step-by-step.\', \'reasoning\': ""First, for the isothermal expansion from (P1, V1, T1) = (2 atm, 3 liters, 300 K) to (P2, V2, T2) = (P2, 6 liters, 300 K). Since it\'s isothermal, P1V1 = P2V2. So, 2 * 3 = P2 * 6, which gives P2 = 1 atm. Next, for the adiabatic cooling from (P2, V2, T2) = (1 atm, 6 liters, 300 K) to (P3, V3, T3) = (P3, V3, 250 K). We use TV^(gamma-1) = constant, where gamma = 1.4 for an ideal gas. So, 300 * 6^(1.4-1) = 250 * V3^(1.4-1). Solving this gives V3. Finally, for the isobaric heating from (P3, V3, T3) = (P3, V3, 250 K) to (P4, V4, T4) = (P4, 3 liters, T4), with P3 = P4 and V4 = 3 liters.""}']","An ideal gas undergoes a thermodynamic cycle consisting of an isothermal expansion, an adiabatic cooling, and an isobaric heating. The gas starts at a pressure of 2 atm, a volume of 3 liters, and a temperature of 300 K. After the isothermal expansion, the volume increases to 6 liters. During the adiabatic cooling, the temperature drops to 250 K. Finally, during the isobaric heating, the volume returns to 3 liters. Calculate the final pressure and temperature of the gas after the cycle.","To solve this, we need to analyze each process step-by-step.","First, for the isothermal expansion from (P1, V1, T1) = (2 atm, 3 liters, 300 K) to (P2, V2, T2) = (P2, 6 liters, 300 K). Since it's isothermal, P1V1 = P2V2. So, 2 * 3 = P2 * 6, which gives P2 = 1 atm. Next, for the adiabatic cooling from (P2, V2, T2) = (1 atm, 6 liters, 300 K) to (P3, V3, T3) = (P3, V3, 250 K). We use TV^(gamma-1) = constant, where gamma = 1.4 for an ideal gas. So, 300 * 6^(1.4-1) = 250 * V3^(1.4-1). Solving this gives V3. Finally, for the isobaric heating from (P3, V3, T3) = (P3, V3, 250 K) to (P4, V4, T4) = (P4, 3 liters, T4), with P3 = P4 and V4 = 3 liters.",True,0.1994245404050982,0.19278988479636355,Two bath towels have the same temperature but different masses. Which towel has more thermal energy? ;; Two paper towels have the same temperature but different masses. Which towel has more thermal energy? ;; Two baked potatoes have the same temperature but different masses. Which potato has less thermal energy? ;; Two fish tanks have the same temperature but different masses. Which fish tank has less thermal energy? ;; Two gold bars have the same temperature but different masses. Which gold bar has more thermal energy?
meta-llama/Llama-4-Scout-17B-16E-Instruct||physics||Grade 12||Evaluate||DOK1||electromagnetic induction,ok,meta-llama/Llama-4-Scout-17B-16E-Instruct,electromagnetic induction,Grade 12,physics,Evaluate,DOK1,"['', ""{'question': 'Does a changing magnetic field induce an EMF in a coil?', 'answer': 'Yes', 'reasoning': 'This question requires a basic evaluation of the principle of electromagnetic induction.'}""]",Does a changing magnetic field induce an EMF in a coil?,Yes,This question requires a basic evaluation of the principle of electromagnetic induction.,True,0.25819888974716115,0.25819888974716115,Think about the magnetic force between the magnets in each pair. Which of the following statements is true?
meta-llama/Llama-4-Scout-17B-16E-Instruct||physics||Grade 12||Evaluate||DOK2||thermodynamics,ok,meta-llama/Llama-4-Scout-17B-16E-Instruct,thermodynamics,Grade 12,physics,Evaluate,DOK2,"['', ""{'question': 'Compare and evaluate the thermal energy of water and oil in two separate containers heated to the same temperature, knowing that the mass of water is twice that of oil and water has a higher specific heat capacity than oil. Provide a detailed justification.', 'answer': 'The container with water will have more thermal energy. This is because thermal energy is given by the formula Q = mcT, where m is the mass, c is the specific heat capacity, and T is the temperature. Given that the temperature T is the same for both containers, the thermal energy depends on the product of mass (m) and specific heat capacity (c). Since the mass of water is twice that of oil and the specific heat capacity of water is higher than that of oil, the product mc for water will be greater than that for oil. Therefore, the container with water has more thermal energy.', 'reasoning': 'To evaluate which container has more thermal energy, we need to consider both the mass and the specific heat capacity of the substances, as well as their temperature. The formula Q = mcT indicates that thermal energy is directly proportional to both mass and specific heat capacity when the temperature is constant. Given that water has both a higher mass and a higher specific heat capacity than oil, and that they are at the same temperature, the container with water will have more thermal energy.'}""]","Compare and evaluate the thermal energy of water and oil in two separate containers heated to the same temperature, knowing that the mass of water is twice that of oil and water has a higher specific heat capacity than oil. Provide a detailed justification.","The container with water will have more thermal energy. This is because thermal energy is given by the formula Q = mcT, where m is the mass, c is the specific heat capacity, and T is the temperature. Given that the temperature T is the same for both containers, the thermal energy depends on the product of mass (m) and specific heat capacity (c). Since the mass of water is twice that of oil and the specific heat capacity of water is higher than that of oil, the product mc for water will be greater than that for oil. Therefore, the container with water has more thermal energy.","To evaluate which container has more thermal energy, we need to consider both the mass and the specific heat capacity of the substances, as well as their temperature. The formula Q = mcT indicates that thermal energy is directly proportional to both mass and specific heat capacity when the temperature is constant. Given that water has both a higher mass and a higher specific heat capacity than oil, and that they are at the same temperature, the container with water will have more thermal energy.",True,0.5668136985101658,0.32074883548652605,Which object has more thermal energy? ;; Which object has the most thermal energy? ;; Two paper towels have the same temperature but different masses. Which towel has more thermal energy? ;; Two bath towels have the same temperature but different masses. Which towel has more thermal energy? ;; Two baked potatoes have the same temperature but different masses. Which potato has less thermal energy?
meta-llama/Llama-4-Scout-17B-16E-Instruct||physics||Grade 12||Evaluate||DOK3||electromagnetic induction,ok,meta-llama/Llama-4-Scout-17B-16E-Instruct,electromagnetic induction,Grade 12,physics,Evaluate,DOK3,"['', '{\'question\': ""Design an experiment to compare and evaluate the induced emf in two coils with different numbers of turns placed in a changing magnetic field. Justify your experimental design using Faraday\'s law and Lenz\'s law, and discuss how the results would inform the design of electromagnetic devices."", \'answer\': ""The experiment involves placing two coils with different numbers of turns in a changing magnetic field, measuring the induced emf in each coil, and comparing the results. The experimental design should control for variables like the rate of change of the magnetic field and the area of the coils. Faraday\'s law and Lenz\'s law justify the expected relationship between the number of turns and the induced emf. The results would inform the design of electromagnetic devices by demonstrating how coil design affects performance, crucial for optimizing generators, transformers, and inductors."", \'reasoning\': ""This question requires designing an experiment to evaluate the effect of the number of turns on the induced emf, justifying the design using fundamental principles, and discussing the implications for electromagnetic device design. This aligns with \'Evaluate\' for Bloom\'s level and \'DOK3\' for Depth of Knowledge.""}']","Design an experiment to compare and evaluate the induced emf in two coils with different numbers of turns placed in a changing magnetic field. Justify your experimental design using Faraday's law and Lenz's law, and discuss how the results would inform the design of electromagnetic devices.","The experiment involves placing two coils with different numbers of turns in a changing magnetic field, measuring the induced emf in each coil, and comparing the results. The experimental design should control for variables like the rate of change of the magnetic field and the area of the coils. Faraday's law and Lenz's law justify the expected relationship between the number of turns and the induced emf. The results would inform the design of electromagnetic devices by demonstrating how coil design affects performance, crucial for optimizing generators, transformers, and inductors.","This question requires designing an experiment to evaluate the effect of the number of turns on the induced emf, justifying the design using fundamental principles, and discussing the implications for electromagnetic device design. This aligns with 'Evaluate' for Bloom's level and 'DOK3' for Depth of Knowledge.",True,0.25819888974716115,0.25819888974716115,Think about the magnetic force between the magnets in each pair. Which of the following statements is true?
meta-llama/Llama-4-Scout-17B-16E-Instruct||physics||Grade 12||Evaluate||DOK4||thermodynamics,ok,meta-llama/Llama-4-Scout-17B-16E-Instruct,thermodynamics,Grade 12,physics,Evaluate,DOK4,"['', ""{'question': 'Evaluate the impact of ice cube size on its melting rate when placed in the same room temperature. Consider the underlying thermodynamic principles and provide evidence to support your evaluation.', 'answer': 'The melting rate of ice cubes is influenced by their size due to the surface-to-volume ratio. A smaller ice cube has a larger surface-to-volume ratio, which allows it to melt faster per unit mass compared to a larger ice cube. This is because the surface area exposed to the warmer surroundings is larger relative to its volume. Thermodynamic principles, such as heat transfer mechanisms (conduction, convection, radiation), play a crucial role in determining the melting rate. The larger the temperature difference between the ice and the surroundings, the faster the melting rate. Therefore, when placed in the same room temperature, a smaller ice cube is likely to melt faster than a larger one due to its larger surface-to-volume ratio.', 'reasoning': 'The final answer evaluates the impact of ice cube size on its melting rate by considering thermodynamic principles and provides evidence to support the evaluation.'}""]",Evaluate the impact of ice cube size on its melting rate when placed in the same room temperature. Consider the underlying thermodynamic principles and provide evidence to support your evaluation.,"The melting rate of ice cubes is influenced by their size due to the surface-to-volume ratio. A smaller ice cube has a larger surface-to-volume ratio, which allows it to melt faster per unit mass compared to a larger ice cube. This is because the surface area exposed to the warmer surroundings is larger relative to its volume. Thermodynamic principles, such as heat transfer mechanisms (conduction, convection, radiation), play a crucial role in determining the melting rate. The larger the temperature difference between the ice and the surroundings, the faster the melting rate. Therefore, when placed in the same room temperature, a smaller ice cube is likely to melt faster than a larger one due to its larger surface-to-volume ratio.",The final answer evaluates the impact of ice cube size on its melting rate by considering thermodynamic principles and provides evidence to support the evaluation.,True,0.1994245404050982,0.19278988479636355,Two bath towels have the same temperature but different masses. Which towel has more thermal energy? ;; Two paper towels have the same temperature but different masses. Which towel has more thermal energy? ;; Two baked potatoes have the same temperature but different masses. Which potato has less thermal energy? ;; Two fish tanks have the same temperature but different masses. Which fish tank has less thermal energy? ;; Two gold bars have the same temperature but different masses. Which gold bar has more thermal energy?
meta-llama/Llama-4-Scout-17B-16E-Instruct||physics||Grade 12||Create||DOK1||electromagnetic induction,ok,meta-llama/Llama-4-Scout-17B-16E-Instruct,electromagnetic induction,Grade 12,physics,Create,DOK1,"['', '{\'question\': \'Design a simple electromagnetic induction experiment. Specify the materials needed and outline the procedure.\', \'answer\': \'Materials: coil, magnet, galvanometer. Procedure: 1) Connect the coil to the galvanometer. 2) Move the magnet in and out of the coil. 3) Record the galvanometer readings. The experiment demonstrates electromagnetic induction.\', \'reasoning\': ""This question requires designing an experiment, aligning with \'Create\'. The answer provides the materials and procedure, focusing on demonstrating electromagnetic induction.""}']",Design a simple electromagnetic induction experiment. Specify the materials needed and outline the procedure.,"Materials: coil, magnet, galvanometer. Procedure: 1) Connect the coil to the galvanometer. 2) Move the magnet in and out of the coil. 3) Record the galvanometer readings. The experiment demonstrates electromagnetic induction.","This question requires designing an experiment, aligning with 'Create'. The answer provides the materials and procedure, focusing on demonstrating electromagnetic induction.",True,0.0,0.0,Think about the magnetic force between the magnets in each pair. Which of the following statements is true?
meta-llama/Llama-4-Scout-17B-16E-Instruct||physics||Grade 12||Create||DOK2||thermodynamics,ok,meta-llama/Llama-4-Scout-17B-16E-Instruct,thermodynamics,Grade 12,physics,Create,DOK2,"['', '{\'question\': \'Investigate and compare the thermal energy transfer between water and cooking oil when they are heated to the same temperature. Describe an experimental setup that differentiates between the thermal energy transfer rates of these two substances.\', \'answer\': \'The experimental setup will involve heating water and cooking oil to the same initial temperature and then placing them in identical conditions to measure their temperature changes over time. The differentiation will be achieved by comparing their cooling curves and calculating the thermal energy transfer rates using the temperature data. This will involve using high-precision thermometers and data loggers to record temperature changes at regular intervals.\', \'reasoning\': ""This question requires the student to investigate and compare, which involves some mental processing beyond recall. It aligns with \'DOK2\' as it requires explaining and describing an experimental setup.""}']",Investigate and compare the thermal energy transfer between water and cooking oil when they are heated to the same temperature. Describe an experimental setup that differentiates between the thermal energy transfer rates of these two substances.,The experimental setup will involve heating water and cooking oil to the same initial temperature and then placing them in identical conditions to measure their temperature changes over time. The differentiation will be achieved by comparing their cooling curves and calculating the thermal energy transfer rates using the temperature data. This will involve using high-precision thermometers and data loggers to record temperature changes at regular intervals.,"This question requires the student to investigate and compare, which involves some mental processing beyond recall. It aligns with 'DOK2' as it requires explaining and describing an experimental setup.",True,0.611585259806223,0.3422602668792439,Which object has more thermal energy? ;; Which object has the most thermal energy? ;; Two paper towels have the same temperature but different masses. Which towel has more thermal energy? ;; Two bath towels have the same temperature but different masses. Which towel has more thermal energy? ;; Two baked potatoes have the same temperature but different masses. Which potato has less thermal energy?
meta-llama/Llama-4-Scout-17B-16E-Instruct||physics||Grade 12||Create||DOK3||electromagnetic induction,ok,meta-llama/Llama-4-Scout-17B-16E-Instruct,electromagnetic induction,Grade 12,physics,Create,DOK3,"['', ""{'question': 'Design an experiment to demonstrate electromagnetic induction using a coil, a magnet, and a galvanometer. Explain how the induced emf can be maximized in your setup.', 'answer': 'To demonstrate electromagnetic induction, set up a coil connected to a galvanometer. Move a magnet in and out of the coil to observe the deflection in the galvanometer, indicating induced emf. The induced emf can be maximized by increasing the speed of the magnet, using a stronger magnet, or increasing the number of turns in the coil.', 'reasoning': 'The question requires the student to design an experiment and explain how to maximize the induced emf, demonstrating creative thinking and application of knowledge on electromagnetic induction.'}""]","Design an experiment to demonstrate electromagnetic induction using a coil, a magnet, and a galvanometer. Explain how the induced emf can be maximized in your setup.","To demonstrate electromagnetic induction, set up a coil connected to a galvanometer. Move a magnet in and out of the coil to observe the deflection in the galvanometer, indicating induced emf. The induced emf can be maximized by increasing the speed of the magnet, using a stronger magnet, or increasing the number of turns in the coil.","The question requires the student to design an experiment and explain how to maximize the induced emf, demonstrating creative thinking and application of knowledge on electromagnetic induction.",True,0.0,0.0,Think about the magnetic force between the magnets in each pair. Which of the following statements is true?
meta-llama/Llama-4-Scout-17B-16E-Instruct||physics||Grade 12||Create||DOK4||thermodynamics,ok,meta-llama/Llama-4-Scout-17B-16E-Instruct,thermodynamics,Grade 12,physics,Create,DOK4,"['', '{\'question\': ""Design, propose, and validate a novel refrigeration system that optimizes the coefficient of performance (COP) by integrating a phase-change material, including detailed experimental procedures and theoretical modeling to validate the system\'s performance under various operating conditions."", \'answer\': ""The proposed refrigeration system would integrate a phase-change material to enhance the COP. The design involves selecting a suitable phase-change material that can absorb and release heat effectively during the refrigeration cycle. The experimental setup would include testing the system\'s performance under various conditions, measuring the energy consumption, and comparing the results with a conventional refrigeration system. Theoretical modeling would be used to validate the experimental findings and optimize the system\'s performance. The detailed experimental procedures would involve controlled experiments to test the system\'s efficiency, and the theoretical modeling would involve simulations to predict the system\'s behavior under different conditions."", \'reasoning\': ""This task requires designing a novel system, detailing experimental procedures, and validating its performance using theoretical modeling, which should align with \'Create\' at Bloom\'s level and \'DOK4\' at Depth of Knowledge level as it involves complex design, experimentation, and analysis.""}']","Design, propose, and validate a novel refrigeration system that optimizes the coefficient of performance (COP) by integrating a phase-change material, including detailed experimental procedures and theoretical modeling to validate the system's performance under various operating conditions.","The proposed refrigeration system would integrate a phase-change material to enhance the COP. The design involves selecting a suitable phase-change material that can absorb and release heat effectively during the refrigeration cycle. The experimental setup would include testing the system's performance under various conditions, measuring the energy consumption, and comparing the results with a conventional refrigeration system. Theoretical modeling would be used to validate the experimental findings and optimize the system's performance. The detailed experimental procedures would involve controlled experiments to test the system's efficiency, and the theoretical modeling would involve simulations to predict the system's behavior under different conditions.","This task requires designing a novel system, detailing experimental procedures, and validating its performance using theoretical modeling, which should align with 'Create' at Bloom's level and 'DOK4' at Depth of Knowledge level as it involves complex design, experimentation, and analysis.",True,0.0,0.0,Which object has more thermal energy? ;; Which ball of clay has more thermal energy? ;; Which object has the most thermal energy? ;; Which glas of apple juice has more thermal energy? ;; Which bowl of oatmeal has more thermal energy?
meta-llama/Llama-4-Scout-17B-16E-Instruct||chemistry||Grade 5||Remember||DOK1||states of matter,ok,meta-llama/Llama-4-Scout-17B-16E-Instruct,states of matter,Grade 5,chemistry,Remember,DOK1,"['{\n  ""question"": ""What are the three main states of matter?"",\n  ""answer"": ""The three main states of matter are solid, liquid, and gas. Solids have a fixed shape and volume, liquids take the shape of their container but have a fixed volume, and gases have neither a fixed shape nor a fixed volume."",\n  ""reasoning"": ""This question requires recalling basic facts about the states of matter, which aligns with the \'Remember\' Bloom\'s level and \'DOK1\' as it involves simple recall.""\n}', '{""question"": ""What are the three main states of matter?"", ""answer"": ""The three main states of matter are solid, liquid, and gas. Solids have a fixed shape and volume, liquids take the shape of their container but have a fixed volume, and gases have neither a fixed shape nor a fixed volume."", ""reasoning"": ""This question requires recalling basic facts about the states of matter, which aligns with the \'Remember\' Bloom\'s level and \'DOK1\' as it involves simple recall.""}']",What are the three main states of matter?,"The three main states of matter are solid, liquid, and gas. Solids have a fixed shape and volume, liquids take the shape of their container but have a fixed volume, and gases have neither a fixed shape nor a fixed volume.","This question requires recalling basic facts about the states of matter, which aligns with the 'Remember' Bloom's level and 'DOK1' as it involves simple recall.",True,0.0,0.0,"Is a sidewalk a solid, a liquid, or a gas? ;; Is ethyl alcohol a solid, a liquid, or a gas? ;; Is a tissue a solid, a liquid, or a gas? ;; Is molasses a solid, a liquid, or a gas? ;; Is grape juice a solid, a liquid, or a gas?"
meta-llama/Llama-4-Scout-17B-16E-Instruct||chemistry||Grade 5||Remember||DOK2||mixtures and solutions,ok,meta-llama/Llama-4-Scout-17B-16E-Instruct,mixtures and solutions,Grade 5,chemistry,Remember,DOK2,"['', '{\'question\': \'What is a homogeneous mixture?\', \'answer\': \'A mixture that is uniform throughout.\', \'reasoning\': ""This question is extremely straightforward and requires recalling the definition of a homogeneous mixture, directly aligning with \'Remember\' Bloom\'s level and \'DOK2\' as it involves recalling a specific concept.""}']",What is a homogeneous mixture?,A mixture that is uniform throughout.,"This question is extremely straightforward and requires recalling the definition of a homogeneous mixture, directly aligning with 'Remember' Bloom's level and 'DOK2' as it involves recalling a specific concept.",True,0.13615091539361932,0.07522842330953647,"A chemist has three bottles, each containing a mixture of acid and water:

- bottle A contains $40 \mathrm{~g}$ of which $10 \%$ is acid,
- bottle B contains $50 \mathrm{~g}$ of which $20 \%$ is acid, and
- bottle C contains $50 \mathrm{~g}$ of which $30 \%$ is acid.

She uses some of the mixture from each of the bottles to create a mixture with mass $60 \mathrm{~g}$ of which $25 \%$ is acid. Then she mixes the remaining contents of the bottles to create a new mixture. What percentage of the new mixture is acid? ;; In a dye-making process, a young lady mixes 3/5th of 20 liters of water with 5/6th of 18 liters of vinegar. How many liters of the mixture are obtained? ;; Which solution has a higher concentration of green particles? ;; Complete the statement.
During this chemical reaction, the solution becomes (). ;; Which solution has a higher concentration of pink particles?"
meta-llama/Llama-4-Scout-17B-16E-Instruct||chemistry||Grade 5||Remember||DOK3||states of matter,ok,meta-llama/Llama-4-Scout-17B-16E-Instruct,states of matter,Grade 5,chemistry,Remember,DOK3,"['', ""{'question': 'Compare the state of matter of ice and water vapor in terms of their particle arrangement and movement.', 'answer': 'Ice is a solid where particles are closely packed and have a fixed position with slight vibrations. Water vapor is a gas where particles are far apart, move freely, and have high kinetic energy.', 'reasoning': 'This question requires students to remember and compare the characteristics of solids and gases, specifically the arrangement and movement of particles in ice (solid) and water vapor (gas), demonstrating a deeper understanding.'}""]",Compare the state of matter of ice and water vapor in terms of their particle arrangement and movement.,"Ice is a solid where particles are closely packed and have a fixed position with slight vibrations. Water vapor is a gas where particles are far apart, move freely, and have high kinetic energy.","This question requires students to remember and compare the characteristics of solids and gases, specifically the arrangement and movement of particles in ice (solid) and water vapor (gas), demonstrating a deeper understanding.",True,0.09124071539665213,0.25832721893054417,"Is an ice cube a solid, a liquid, or a gas? ;; Is the water in a fishbowl a solid or a liquid? ;; Is the water in a sink a solid, a liquid, or a gas? ;; Is the water in a bathtub a solid, a liquid, or a gas? ;; Is the water in a waterfall a solid, a liquid, or a gas?"
meta-llama/Llama-4-Scout-17B-16E-Instruct||chemistry||Grade 5||Remember||DOK4||mixtures and solutions,ok,meta-llama/Llama-4-Scout-17B-16E-Instruct,mixtures and solutions,Grade 5,chemistry,Remember,DOK4,"['{\n  ""question"": ""A student has two mixtures: Mixture A is 100g with 20% sugar, and Mixture B is 200g with 30% sugar. If the student mixes them together, what is the percentage of sugar in the new mixture?"",\n  ""answer"": ""To find the percentage of sugar in the new mixture, first calculate the total amount of sugar in both mixtures and then divide by the total weight of the new mixture.\\n\\nMixture A has 20% of 100g sugar, which is 0.20 * 100 = 20g sugar.\\nMixture B has 30% of 200g sugar, which is 0.30 * 200 = 60g sugar.\\n\\nTotal sugar = 20g + 60g = 80g.\\nTotal weight of new mixture = 100g + 200g = 300g.\\n\\nPercentage of sugar in new mixture = (Total sugar / Total weight) * 100 = (80 / 300) * 100 = 26.67%."",\n  ""reasoning"": ""The question requires calculating the total amount of sugar in both mixtures and then finding the percentage of sugar in the new mixture. This involves understanding the concept of percentage concentration and applying it to a mixture problem.""\n}', '{""question"": ""A student has two mixtures: Mixture A is 100g with 20% sugar, and Mixture B is 200g with 30% sugar. If the student mixes them together, what is the percentage of sugar in the new mixture?"", ""answer"": ""To find the percentage of sugar in the new mixture, first calculate the total amount of sugar in both mixtures and then divide by the total weight of the new mixture.\\n\\nMixture A has 20% of 100g sugar, which is 0.20 * 100 = 20g sugar.\\nMixture B has 30% of 200g sugar, which is 0.30 * 200 = 60g sugar.\\n\\nTotal sugar = 20g + 60g = 80g.\\nTotal weight of new mixture = 100g + 200g = 300g.\\n\\nPercentage of sugar in new mixture = (Total sugar / Total weight) * 100 = (80 / 300) * 100 = 26.67%."", ""reasoning"": ""The question requires calculating the total amount of sugar in both mixtures and then finding the percentage of sugar in the new mixture. This involves understanding the concept of percentage concentration and applying it to a mixture problem.""}']","A student has two mixtures: Mixture A is 100g with 20% sugar, and Mixture B is 200g with 30% sugar. If the student mixes them together, what is the percentage of sugar in the new mixture?","To find the percentage of sugar in the new mixture, first calculate the total amount of sugar in both mixtures and then divide by the total weight of the new mixture.

Mixture A has 20% of 100g sugar, which is 0.20 * 100 = 20g sugar.
Mixture B has 30% of 200g sugar, which is 0.30 * 200 = 60g sugar.

Total sugar = 20g + 60g = 80g.
Total weight of new mixture = 100g + 200g = 300g.

Percentage of sugar in new mixture = (Total sugar / Total weight) * 100 = (80 / 300) * 100 = 26.67%.",The question requires calculating the total amount of sugar in both mixtures and then finding the percentage of sugar in the new mixture. This involves understanding the concept of percentage concentration and applying it to a mixture problem.,True,0.18119212507541052,0.10011535982788011,"A chemist has three bottles, each containing a mixture of acid and water:

- bottle A contains $40 \mathrm{~g}$ of which $10 \%$ is acid,
- bottle B contains $50 \mathrm{~g}$ of which $20 \%$ is acid, and
- bottle C contains $50 \mathrm{~g}$ of which $30 \%$ is acid.

She uses some of the mixture from each of the bottles to create a mixture with mass $60 \mathrm{~g}$ of which $25 \%$ is acid. Then she mixes the remaining contents of the bottles to create a new mixture. What percentage of the new mixture is acid? ;; In a dye-making process, a young lady mixes 3/5th of 20 liters of water with 5/6th of 18 liters of vinegar. How many liters of the mixture are obtained? ;; Which solution has a higher concentration of green particles? ;; Complete the statement.
During this chemical reaction, the solution becomes (). ;; Which solution has a higher concentration of pink particles?"
meta-llama/Llama-4-Scout-17B-16E-Instruct||chemistry||Grade 5||Understand||DOK1||states of matter,error,meta-llama/Llama-4-Scout-17B-16E-Instruct,states of matter,Grade 5,chemistry,Understand,DOK1,{'error': ''},,,,False,0.0,0.0,"Is a sidewalk a solid, a liquid, or a gas? ;; Is ethyl alcohol a solid, a liquid, or a gas? ;; Is a tissue a solid, a liquid, or a gas? ;; Is molasses a solid, a liquid, or a gas? ;; Is grape juice a solid, a liquid, or a gas?"
